audit_id,created_at_utc,created_at_local,iteration,thesis_id,instrument,direction,strategy_id,confidence_tese_pct,expected_financial_pct,realized_financial_pct,requested_instruments
3366,2026-05-02T05:50:56+00:00,2026-05-02T02:50:56-03:00,515,TH-RENT3-bullish-14330,RENT3,bullish,BULL_CALL_SPREAD,70.5084,3.6969,-1.383,"VBBR3,RAIL3,GGBR4,B3SA3,ITUB4,RENT3,BBDC4"
3369,2026-05-02T05:51:25+00:00,2026-05-02T02:51:25-03:00,516,TH-JBSS3-bullish-15066,JBSS3,bullish,BULL_CALL_SPREAD,71.172,3.7713,5.4,"BBAS3,WEGE3,ITUB4,VBBR3,JBSS3,RADL3,RENT3"
3372,2026-05-02T05:52:03+00:00,2026-05-02T02:52:03-03:00,517,TH-PETR4-bullish-30079,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"HAPV3,ABEV3,VALE3,GGBR4,BBAS3,ITUB4,WEGE3,PETR4"
3375,2026-05-02T05:52:31+00:00,2026-05-02T02:52:31-03:00,518,TH-HAPV3-bearish-21829,HAPV3,bearish,BEAR_PUT_SPREAD,72.3877,3.9074,5.2,"LREN3,ITUB4,BBAS3,BBDC4,SUZB3,VBBR3,HAPV3"
3378,2026-05-02T05:52:55+00:00,2026-05-02T02:52:55-03:00,519,TH-BPAC11-bullish-0565,BPAC11,bullish,BULL_CALL_SPREAD,71.3538,3.7916,-2.2,"BPAC11,LREN3,CMIG4,BBAS3,JBSS3"
3381,2026-05-02T05:53:21+00:00,2026-05-02T02:53:21-03:00,520,TH-PRIO3-bullish-1072,PRIO3,bullish,BULL_CALL_SPREAD,72.5161,3.9218,5.4,"PRIO3,BBDC4,VALE3,RAIL3,ITUB4"
3384,2026-05-02T05:53:46+00:00,2026-05-02T02:53:46-03:00,521,TH-PETR4-bullish-7826,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"SUZB3,B3SA3,PETR4,ITUB4"
3387,2026-05-02T05:54:15+00:00,2026-05-02T02:54:15-03:00,522,TH-PETR4-bullish-3514,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"PETR4,JBSS3,VBBR3,LREN3,PRIO3"
3390,2026-05-02T05:54:42+00:00,2026-05-02T02:54:42-03:00,523,TH-HAPV3-bearish-5552,HAPV3,bearish,BEAR_PUT_SPREAD,72.3877,3.9074,5.2,"ITUB4,HAPV3,BBDC4,VALE3,RAIL3,BPAC11"
3393,2026-05-02T05:55:17+00:00,2026-05-02T02:55:17-03:00,524,TH-HAPV3-bearish-5532,HAPV3,bearish,BEAR_PUT_SPREAD,72.3877,3.9074,5.2,"LREN3,HAPV3,RADL3,RENT3,ITUB4,VALE3,SUZB3"
